id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,name,artist,genre
2KslE17cAJNHTsI2MI0jb2,0.0447,0.711,0.809,0,2,0.339,-4.389,0,0.0955,106.017,4,0.816,Standing Next to You,Jung Kook,0
3rUGC1vUpkDG9CZFHMur1t,0.256,0.75,0.733,0,6,0.114,-3.18,0,0.0319,111.018,1,0.844,greedy,Tate McRae,0
5aIVCx5tnk0ntmdiinnYvw,0.0856,0.673,0.722,0,3,0.137,-3.495,0,0.0755,117.187,4,0.519,Water,Tyla,0
2IGMVunIBsBLtEQyoI1Mu7,0.269,0.868,0.538,3.34e-06,5,0.0901,-8.603,1,0.174,99.968,4,0.732,Paint The Town Red,Doja Cat,0
5mjYQaktjmjcMKcUIcqz4s,0.701,0.628,0.523,0.00274,11,0.219,-8.307,0,0.0946,169.982,4,0.416,Strangers,Kenya Grace,0
4MjDJD8cW7iVeWInc2Bdyj,0.15,0.787,0.621,0.000402,4,0.58,-5.009,0,0.068,139.056,4,0.13,MONACO,Bad Bunny,0
3vkCueOmm7xQDoJ17W1Pm3,0.868,0.504,0.308,0.135,9,0.158,-14.958,1,0.0321,113.95,4,0.121,My Love Mine All Mine,Mitski,0
1Iq8oo9XkmmvCQiGOfORiz,0.0504,0.596,0.658,0,0,0.127,-7.346,1,0.036,100.012,4,0.176,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,0
6WzRpISELf3YglGAh7TXcG,0.0569,0.855,0.678,3.69e-05,1,0.412,-6.276,1,0.189,99.029,4,0.852,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd,0
4iZ4pt7kvcaH6Yo8UoZ4s2,0.141,0.559,0.551,0,5,0.11,-7.231,1,0.132,143.008,4,0.392,Snooze,SZA,0
0rKWJnmo6Q0ovoPOLoLm0t,0.252,0.758,0.703,0,10,0.146,-5.979,0,0.172,94.985,4,0.465,TOO MUCH,The Kid LAROI,0
2HafqoJbgXdtjwCOvNEF14,0.827,0.537,0.421,0,5,0.138,-8.72,1,0.0285,98.224,4,0.524,Si No Estás,iñigo quintero,0
4KULAymBBJcPRpk1yO4dOG,0.554,0.429,0.453,2e-06,0,0.102,-7.746,1,0.0459,77.639,4,0.155,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,0
1BxfuPKGuaTgP7aM0Bbdwr,0.117,0.552,0.702,2.06e-05,9,0.105,-5.707,1,0.157,169.994,4,0.564,Cruel Summer,Taylor Swift,0
1vYXt7VSjH9JIM5oRRo7vA,0.0207,0.671,0.845,0,11,0.329,-4.93,0,0.048,110.056,4,0.775,Dance The Night - From Barbie The Album,Dua Lipa,0
7dJYggqjKo71KI9sLzqCs8,0.228,0.75,0.674,8.91e-05,8,0.122,-6.128,0,0.097,123.026,4,0.392,Agora Hills,Doja Cat,0
7aqfrAY2p9BUSiupwk3svU,0.0277,0.47,0.64,0,2,0.382,-7.779,1,0.32,163.92,4,0.248,First Person Shooter (feat. J. Cole),Drake,0
0WtM2NBVQNNJLh6scP13H8,0.382,0.801,0.806,0.000669,11,0.114,-5.206,1,0.0381,106.999,4,0.802,Calm Down (with Selena Gomez),Rema,0
3IX0yuEVvDbnqUwMBB3ouC,0.00193,0.627,0.879,6.87e-06,9,0.0647,-3.446,1,0.0955,129.979,4,0.748,bad idea right?,Olivia Rodrigo,0
6wf7Yu7cxBSPrRlWeSeK0Q,0.959,0.444,0.0911,1.05e-06,0,0.098,-17.665,1,0.0307,78.403,4,0.142,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,0
